koi_disposition,int_koi_disposition,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ec,koi_model_snr,koi_depth,koi_tce_plnt_num,koi_impact_err1,koi_period,koi_teq,koi_steff_err1,ra,koi_slogg_err1,koi_duration_err1,koi_duration
CONFIRMED,1,0,0,0,0,70.8,780.7,1,0.009000000000000001,6.365839713,914,155,291.14951,0.042,0.0408,2.9721
CONFIRMED,1,0,0,0,0,568.2,10859.0,1,0.013000000000000001,3.04033046,1021,151,299.3161,0.084,0.0168,1.8411
CONFIRMED,1,0,0,0,0,117.2,5073.8,1,0.021,31.33046135,481,105,292.23676,0.01,0.102,5.176
FALSE POSITIVE,0,1,0,0,0,1671.1,44791.0,1,0.009000000000000001,9.286358079,796,169,294.74396,0.066,0.00533,3.49949
CONFIRMED,1,0,0,0,0,49.1,504.6,2,0.39899999999999997,13.23352214,888,114,287.89713,0.162,0.0875,6.7372
CONFIRMED,1,0,0,0,0,35.1,285.0,3,0.204,6.15560285,1146,114,287.89713,0.162,0.0994,4.9843
CONFIRMED,1,0,0,0,0,19.9,115.9,5,0.053,2.090811305,1642,114,287.89713,0.162,0.106,3.388
CONFIRMED,1,0,0,0,0,50.4,120.3,2,0.242,3.180027898,1458,64,297.02826,0.02,0.0558,3.5797
CONFIRMED,1,0,0,0,0,20.9,862.7,2,0.20800000000000002,56.22792710000001,366,99,294.20215,0.011000000000000001,0.134,3.57
FALSE POSITIVE,0,1,1,0,1,50.5,1268.1,1,5.685,2.384052875,1010,130,299.64285,0.063,0.0817,3.0918
CONFIRMED,1,0,0,0,0,38.4,875.4,1,0.145,7.953547,696,76,291.15878,0.055999999999999994,0.0595,2.6312
CONFIRMED,1,0,0,0,0,22.8,391.8,2,0.47100000000000003,4.14451656,864,76,291.15878,0.055999999999999994,0.0984,2.3421
FALSE POSITIVE,0,1,0,0,0,269.7,6044.3,1,1.089,4.859386384,1114,168,292.21436,0.055999999999999994,0.0122,2.2757
CONFIRMED,1,0,0,0,0,99.5,3812.1,1,0.319,4.583520948,1038,157,299.18686,0.038,0.0321,2.7055
CONFIRMED,1,0,0,0,0,54.4,1024.4,1,0.001,8.20396958,742,149,286.5657,0.09,0.0529,2.9667
CONFIRMED,1,0,0,0,0,25.7,647.5,2,0.002,14.49645186,613,149,286.5657,0.09,0.305,4.016
CANDIDATE,2,0,0,0,0,24.8,655.9,3,0.295,6.54626149,810,105,292.23676,0.01,0.111,2.75
CONFIRMED,1,0,0,0,0,52.7,1149.4,1,0.016,12.71809866,562,128,292.91312,0.057999999999999996,0.0562,3.0957
CONFIRMED,1,0,0,0,0,51.7,1563.8,2,0.145,36.06588163,397,128,292.91312,0.057999999999999996,0.0634,4.3246
CONFIRMED,1,0,0,0,0,240.6,2877.4,1,0.004,4.190425659,1234,190,293.49661000000003,0.07200000000000001,0.0224,2.8589
CONFIRMED,1,0,0,0,0,116.1,2020.3,1,0.32299999999999995,3.7098707839999996,1151,77,283.86441,0.04,0.0265,3.0694
CONFIRMED,1,0,0,0,0,74.6,1187.5,1,0.091,16.3297527,727,158,288.51001,0.084,0.11199999999999999,6.271
CONFIRMED,1,0,0,0,0,748.1,25391.0,1,0.002,27.80756622,554,177,296.88821,0.044000000000000004,0.00935,4.21587
CONFIRMED,1,0,0,0,0,160.9,3604.6,1,0.08,80.87234690000001,452,82,287.1543,0.195,0.13,11.195
CONFIRMED,1,0,0,0,0,62.0,269.6,1,0.015,24.99324319,712,85,287.36279,0.018000000000000002,0.0669,5.9409
CONFIRMED,1,0,0,0,0,49.2,750.6,1,0.429,10.35533116,777,164,288.9942,0.084,0.0602,3.1775
CONFIRMED,1,0,0,0,0,62.6,1442.4,1,0.011000000000000001,16.08518937,613,174,292.10519,0.06,0.0875,3.984
CANDIDATE,2,0,0,0,0,271.8,20715.0,1,0.006,235.99863990000003,188,85,293.00797,0.03,0.0606,8.2284
CONFIRMED,1,0,0,0,0,45.5,1572.6,2,0.379,36.27612379999999,445,101,291.63898,0.032,0.0756,4.7865
CONFIRMED,1,0,0,0,0,22.6,812.4,4,0.326,17.46087931,568,101,291.63898,0.032,0.0721,2.2641
CONFIRMED,1,0,0,0,0,27.4,1626.0,1,0.413,56.0560754,233,71,289.50847999999996,0.054000000000000006,0.132,4.685
CONFIRMED,1,0,0,0,0,907.8,22839.0,1,0.016,41.40831669,453,165,291.76041000000004,0.048,0.0136,5.0264
CANDIDATE,2,0,0,0,0,561.1,15179.0,1,0.003,39.74893077,552,181,293.17929,0.052000000000000005,0.0213,7.3051
CONFIRMED,1,0,0,0,0,355.7,1646.2,1,0.361,49.18394185,669,89,294.55917,0.04,0.051,11.3364
FALSE POSITIVE,0,1,0,0,0,184.1,5732.9,1,0.34700000000000003,13.61014819,733,154,289.89777000000004,0.098,0.0194,2.594
FALSE POSITIVE,0,1,1,0,1,51.7,1159.8,1,0.799,10.44331991,667,148,286.24356,0.077,0.505,2.7430000000000003
CONFIRMED,1,0,0,0,0,30.7,315.8,1,0.325,2.237489571,1160,73,290.00757000000004,0.013999999999999999,0.0554,1.8119
FALSE POSITIVE,0,1,0,0,0,1630.4,33004.0,1,0.02,5.851520671,901,167,284.08731,0.07,0.00627,3.11058
CONFIRMED,1,0,0,0,0,64.8,781.2,1,0.366,3.1678934180000002,1221,164,293.81647000000004,0.05,0.0324,2.1814
CONFIRMED,1,0,0,0,0,86.1,1154.0,1,0.221,4.311780262,1038,74,287.24268,0.04,0.0314,2.7251
CONFIRMED,1,0,0,0,0,37.8,840.9,2,0.081,20.050449399999998,622,74,287.24268,0.04,0.0986,4.556
CONFIRMED,1,0,0,0,0,21.1,569.1,3,0.023,9.76734503,791,74,287.24268,0.04,0.0777,1.6585
CANDIDATE,2,0,0,0,0,223.5,7430.5,1,0.17300000000000001,119.0207044,366,81,291.58377,0.14400000000000002,0.0382,8.1405
FALSE POSITIVE,0,1,1,0,0,58.3,1014.3,1,0.13,2.8611598939999996,1355,193,291.67172,0.052000000000000005,0.0878,1.8832
CONFIRMED,1,0,0,0,0,88.0,1843.5,2,0.355,26.44439337,562,108,292.87338,0.064,0.0417,3.9783
CONFIRMED,1,0,0,0,0,155.5,3644.3,1,0.165,51.53997972,450,108,292.87338,0.064,0.0438,6.3994
CONFIRMED,1,0,0,0,0,59.3,702.3,3,0.165,5.9022457820000005,926,108,292.87338,0.064,0.0317,2.9003
CONFIRMED,1,0,0,0,0,41.4,391.6,4,0.41600000000000004,2.382951591,1253,108,292.87338,0.064,0.0297,1.8876
CONFIRMED,1,0,0,0,0,62.4,1772.5,1,0.36,21.02250608,521,102,294.90972999999997,0.024,0.0538,4.1072
CONFIRMED,1,0,0,0,0,30.5,488.2,3,0.4,3.219814777,998,101,291.63898,0.032,0.0392,2.0642
FALSE POSITIVE,0,1,0,0,0,307.5,42450.0,1,0.16,12.94066866,723,140,291.11969,0.036000000000000004,0.0165,2.4845
CONFIRMED,1,0,0,0,0,247.9,7425.9,1,0.027999999999999997,33.60123371,495,113,289.26874,0.054000000000000006,0.0578,4.4056
CONFIRMED,1,0,0,0,0,60.8,755.9,1,0.045,4.601811819,896,82,296.48343,0.08,0.0367,2.2607
CONFIRMED,1,0,0,0,0,21.9,353.6,2,0.062,11.18719905,667,82,296.48343,0.08,0.122,3.252
CONFIRMED,1,0,0,0,0,87.2,1410.7,1,0.084,5.95489993,635,85,293.63696,0.027000000000000003,0.0281,2.3892
CONFIRMED,1,0,0,0,0,57.6,1250.6,2,0.133,12.03987488,502,85,293.63696,0.027000000000000003,0.0411,2.7363
CONFIRMED,1,0,0,0,0,14.9,439.0,3,0.04,20.83762895,418,85,293.63696,0.027000000000000003,0.0987,2.3734
FALSE POSITIVE,0,1,1,0,1,76.8,401.1,1,11.08,8.8111022,1399,125,294.46088,0.225,0.0771,5.0683
CONFIRMED,1,0,0,0,0,53.3,1200.7,1,0.026000000000000002,23.58917143,487,146,297.46002000000004,0.07200000000000001,0.325,5.073
CONFIRMED,1,0,0,0,0,125.6,298.5,1,0.021,6.481633072999999,1145,71,290.39273,0.033,0.0339,3.784
CONFIRMED,1,0,0,0,0,64.5,1254.9,1,0.02,10.37168928,720,76,290.39322000000004,0.091,0.0456,3.035
CANDIDATE,2,0,0,0,0,15.0,299.2,2,0.10099999999999999,3.96996298,992,76,290.39322000000004,0.091,0.09699999999999999,1.1757
CONFIRMED,1,0,0,0,0,46.8,3136.4,2,0.139,226.8904775,236,102,294.90972999999997,0.024,0.193,7.558
FALSE POSITIVE,0,1,0,0,0,125.4,24905.0,1,11.83,1.956811408,1109,171,295.83536000000004,0.063,0.0257,2.1958
CANDIDATE,2,0,0,0,0,1011.6,37492.0,1,0.061,2.6888992330000003,929,130,296.68307000000004,0.027000000000000003,0.0025399999999999997,2.11275
CONFIRMED,1,0,0,0,0,175.2,3036.1,1,0.273,9.439459486,686,152,288.64252,0.025,0.0188,2.8979
CONFIRMED,1,0,0,0,0,142.0,507.3,1,0.304,11.52306746,927,84,284.48245,0.033,0.0209,3.8757
CONFIRMED,1,0,0,1,0,52.7,1382.4,2,0.015,20.47748843,530,152,288.64252,0.025,0.0419,2.8364
CONFIRMED,1,0,0,0,0,41.6,516.3,3,0.22,3.336123113,970,152,288.64252,0.025,0.0333,1.9616
CONFIRMED,1,0,0,0,0,48.5,1333.6,1,0.096,8.01078456,453,74,294.77393,0.063,0.0336,2.312
CONFIRMED,1,0,0,0,0,31.0,759.2,2,0.518,12.07134205,395,74,294.77393,0.063,0.0983,4.3224
CONFIRMED,1,0,0,0,0,18.2,767.3,3,0.17600000000000002,20.99587872,328,74,294.77393,0.063,0.0866,2.6333
FALSE POSITIVE,0,1,0,0,0,147.4,1823.5,1,0.005,1.0007470379999999,1620,179,297.97513,0.11699999999999999,0.0388,0.9967
CONFIRMED,1,0,0,0,0,388.2,16053.0,1,0.087,8.884922995,770,106,291.1376,0.05,0.007090000000000001,2.07004
CONFIRMED,1,0,0,0,0,435.9,6911.1,1,0.154,8.09888906,986,174,282.69952,0.054000000000000006,0.00982,4.2024099999999995
CONFIRMED,1,0,0,0,0,71.9,936.1,1,0.027999999999999997,10.00653012,876,181,283.63077000000004,0.052000000000000005,0.114,5.343999999999999
CONFIRMED,1,0,0,0,0,915.7,9065.2,1,0.106,17.85522168,911,61,297.45374,0.024,0.00581,7.41287
CANDIDATE,2,0,0,0,0,182.1,7958.7,1,0.031,83.92494032,226,118,287.85239,0.045,0.0748,6.7904
CONFIRMED,1,0,0,0,0,431.4,6932.3,1,0.076,5.007316661,998,146,295.53612999999996,0.042,0.0248,4.2362
CONFIRMED,1,0,0,0,0,42.6,724.2,1,0.009000000000000001,2.211116989,931,90,285.16832999999997,0.013000000000000001,0.0297,1.6485
CONFIRMED,1,0,0,0,0,25.4,942.5,3,0.402,27.9541337,400,90,285.16832999999997,0.013000000000000001,0.138,3.95
CONFIRMED,1,1,0,0,0,60.2,252.1,1,0.389,12.69104387,1008,117,292.92914,0.21,0.0452,3.7727
FALSE POSITIVE,0,1,0,0,0,85.8,12861.0,1,0.26899999999999996,4.409409243,1101,186,296.41019,0.185,0.0468,3.8636
CONFIRMED,1,0,0,0,0,123.8,2590.7,1,0.34299999999999997,16.23947096,598,103,293.0614,0.016,0.0345,4.0374
CONFIRMED,1,0,0,0,0,1072.1,14281.0,1,0.03,2.052349884,1497,70,299.56189,0.076,0.0109,2.0778
CONFIRMED,1,0,0,0,0,58.0,1897.8,1,0.318,9.770448599999998,460,78,282.23251,0.052000000000000005,0.0443,2.4517
CONFIRMED,1,0,0,0,0,41.4,1037.4,2,0.067,5.169804269,569,78,282.23251,0.052000000000000005,0.0493,2.153
CONFIRMED,1,0,0,0,0,114.9,366.0,2,0.37799999999999995,21.22261195,771,71,290.39273,0.033,0.042,6.5093
CONFIRMED,1,0,0,0,0,36.9,1432.1,3,0.013999999999999999,20.09017037,362,78,282.23251,0.052000000000000005,0.154,4.154
CONFIRMED,1,0,0,0,0,44.4,807.6,1,0.11699999999999999,7.11373257,429,71,296.98505,0.055,0.0496,2.1764
CONFIRMED,1,0,0,0,0,37.8,509.2,2,0.43,3.306551643,554,71,296.98505,0.055,0.0485,1.8177
CONFIRMED,1,0,0,0,0,30.9,756.1,3,0.32,15.36845737,332,71,296.98505,0.055,0.069,2.4714
CANDIDATE,2,0,0,0,0,46.2,1309.7,1,0.033,13.81020318,833,176,281.96063,0.136,0.0635,3.048
CONFIRMED,1,0,0,0,0,36.4,538.6,1,0.004,4.093578461,1182,162,290.26328,0.06,0.063,2.5833
CONFIRMED,1,0,0,0,0,15.4,685.4,2,0.009000000000000001,105.145959,401,162,290.26328,0.06,0.446,8.593
CONFIRMED,1,0,0,0,0,64.5,1675.6,1,0.217,10.848451800000001,499,676,295.57935,0.08800000000000001,0.0431,2.9993
CONFIRMED,1,0,0,0,0,1669.1,17859.0,1,0.013999999999999999,4.082274889,1016,152,284.83047,0.038,0.00288,3.23015
CANDIDATE,2,0,0,0,0,48.1,581.6,1,0.053,3.8866552239999996,1010,153,288.72665,0.032,0.0604,3.1646
CONFIRMED,1,0,0,0,0,21.6,895.5,5,0.39299999999999996,42.1406089,349,90,285.16832999999997,0.013000000000000001,0.155,5.083
CONFIRMED,1,0,0,0,0,21.4,634.1,4,0.204,10.19849255,559,90,285.16832999999997,0.013000000000000001,0.0705,2.4283
FALSE POSITIVE,0,1,1,0,0,119.4,1692.9,1,0.005,5.795063956,950,158,296.50754,0.038,0.0513,3.2496
CONFIRMED,1,0,0,0,0,47.7,867.0,1,0.41100000000000003,7.15681552,782,83,289.59476,0.077,0.0463,2.5882
CONFIRMED,1,0,0,0,0,23.8,763.3,2,0.265,17.64830851,579,83,289.59476,0.077,0.0752,2.0873
CONFIRMED,1,0,0,0,0,55.9,973.5,1,0.008,16.51410989,655,111,296.56622000000004,0.075,0.0539,4.1575
CONFIRMED,1,0,0,0,0,21.2,251.3,4,0.342,4.79090809,990,111,296.56622000000004,0.075,0.11,2.603
CONFIRMED,1,0,0,0,0,63.1,363.4,2,0.285,31.71981013,743,117,292.92914,0.21,0.0498,4.819
CONFIRMED,1,0,0,0,0,22.7,952.5,3,0.418,99.64159620000001,360,111,296.56622000000004,0.075,0.14,4.448
